"city","region","country_code","latitude","longitude","order_count","total_revenue","aov"
Praha,"",CZ,50.0852712,14.4232845,32,1537.67,48.05
Pezinok,"",SK,48.3217787,17.2462922,52,2080.45,40.01
Ruská Nová Ves,"",SK,48.9758343,21.3114833,32,1193.87,37.31
Trenčín,"",SK,48.8736881,18.0548255,28,1006.86,35.96
Komárno,"",SK,47.7874143,18.1232474,66,2767.97,41.94
Liptovský Mikuláš,"",SK,49.0715788,19.6052373,44,1549.38,35.21
Piešťany,"",SK,48.5912481,17.8270514,63,2704.72,42.93
Košice,"",SK,48.7579667,21.2630033,33,1263.16,38.28
Poprad,"",SK,49.0584482,20.2873843,97,3682.58,37.96
Handlová,"",SK,48.7237981,18.7562392,24,802.81,33.45
Bratislava,"",SK,48.1599577,17.0925723,21,1054.24,50.2
Praha,"",CZ,50.0683837,14.3857473,51,2326.45,45.62
Bratislava,"",SK,48.1557875,17.1714151,27,1054.46,39.05
Trebišov,"",SK,48.6276901,21.709988,38,1407.46,37.04
Bratislava,"",SK,48.1141785,17.0919153,93,3286.18,35.34
Levice,"",SK,48.2105229,18.609153,48,1616.14,33.67
Senec,"",SK,48.2087426,17.403728,71,3138.9,44.21
Praha,"",CZ,50.038142,14.419076,21,773.16,36.82
Fiľakovo,"",SK,48.2666588,19.8280304,22,646.17,29.37
Bratislava,"",SK,48.1543655,17.1341674,43,1701.85,39.58
Bratislava,"",SK,48.114709,17.1189886,27,984.0,36.44
Žilina,"",SK,49.198427,18.7402807,20,697.21,34.86
Levice,"",SK,48.205878,18.6081729,21,633.02,30.14
Bratislava,"",SK,48.1219822,17.1153674,23,973.6,42.33
Praha,"",CZ,50.0682231,14.4582025,29,1182.98,40.79
Bytča,"",SK,49.2220283,18.5550268,24,769.81,32.08
Bratislava,"",SK,48.1430155,17.2065266,44,1218.09,27.68
Bratislava,"",SK,48.156033,17.0550801,49,1766.16,36.04
Prievidza,"",SK,48.7702537,18.6316245,63,2281.05,36.21
Košice,"",SK,48.7063251,21.2278083,81,2718.54,33.56
Veľký Krtíš,"",SK,48.208016,19.355124,23,579.13,25.18
Malacky,"",SK,48.4372031,17.0227729,51,2680.7,52.56
Praha,"",CZ,50.1005788,14.5525353,50,2485.13,49.7
Žilina,"",SK,49.21007,18.7635544,38,1698.65,44.7
Moldava nad Bodvou,"",SK,48.6112113,21.0006174,25,898.92,35.96
Galanta,"",SK,48.1984869,17.730426,50,1767.81,35.36
Praha,"",CZ,50.1125519,14.4983124,66,3079.62,46.66
Sereď,"",SK,48.290976,17.7334049,52,2330.23,44.81
Nové Zámky,"",SK,47.9881975,18.1613379,72,2905.02,40.35
Bernolákovo,"",SK,48.1963904,17.3051014,26,1034.85,39.8
Banská Bystrica,"",SK,48.7299501,19.1198991,32,1167.37,36.48
Šaľa,"",SK,48.167143,17.8826592,28,1081.21,38.61
Praha,"",CZ,50.102489,14.4356699,39,1724.58,44.22
Námestovo,"",SK,49.4043598,19.4763741,29,1171.15,40.38
Trstená,"",SK,49.3560597,19.6121496,18,987.79,54.88
Ilava,"",SK,48.9910306,18.2359054,18,824.67,45.82
Trenčín,"",SK,48.9021909,18.0261248,42,1748.56,41.63
