"postal_code_clean","country_code","city","region","latitude","longitude","source"
1841,SK,Dubnica nad Váhom,"",48.9599685,18.1747295,nominatim
5991,SK,Mlynica,"",49.100425,20.2947504,nominatim
93030,SK,Rohovce,"",47.9902952,17.3986564,nominatim
99101,SK,Senné,"",48.3244214,19.3998207,nominatim
3472,SK,Liptovská Lúžna,"",48.9382786,19.3245461,nominatim
94651,SK,Nesvady,"",47.9286794,18.1262406,nominatim
9423,SK,Merník,"",48.9662182,21.6389524,nominatim
92242,SK,Madunice,"",48.4773299,17.7807671,nominatim
90023,SK,Viničné,"",48.2716165,17.3030415,nominatim
4414,SK,044 14,"",48.6075388,21.3201822,nominatim
4455,SK,Veľká Ida,"",48.5880272,21.159587,nominatim
6541,SK,Ľubotín,"",49.2479072,20.8774545,nominatim
94654,SK,Bajč,"",47.9238482,18.2135728,nominatim
91637,SK,Kálnica,"",48.7590619,17.9274414,nominatim
97214,SK,Tužina,"",48.8958186,18.6141089,nominatim
1832,SK,Zliechov,"",48.954417,18.4241853,nominatim
95615,SK,Kovarce,"",48.4948418,18.1559531,nominatim
1802,SK,Dolná Mariková,"",49.2021231,18.3587537,nominatim
4012,SK,Košice,"",48.6852774,21.291374,nominatim
5334,SK,Švedlár,"",48.8086559,20.7051154,nominatim
8001,SK,Prešov,"",48.9970246,21.2108123,nominatim
90088,SK,Doľany,"",48.4165756,17.3762549,nominatim
91902,SK,Dolné Orešany,"",48.4399801,17.4280965,nominatim
93701,SK,Želiezovce,"",48.0533039,18.6644264,nominatim
96221,SK,Lieskovec,"",48.5851649,19.1948912,nominatim
2951,SK,Lokca,"",49.3678131,19.4196366,nominatim
96653,SK,Hronský Beňadik,"",48.3437441,18.5571936,nominatim
6544,SK,Plaveč,"",49.2609421,20.8420426,nominatim
92507,SK,Mostová,"",48.1373696,17.6744183,nominatim
1852,SK,Pruské,"",49.0306167,18.2109296,nominatim
90045,SK,Malinovo,"",48.1529961,17.2962604,nominatim
90701,SK,Myjava,"",48.7645613,17.569584,nominatim
90862,SK,Dubovce,"",48.7733421,17.2462687,nominatim
96624,SK,Janova Lehota,"",48.6550607,18.7878016,nominatim
4458,SK,Seňa,"",48.5600208,21.2625562,nominatim
90847,SK,Radimov,"",48.751582,17.1984669,nominatim
95141,SK,Lužianky,"",48.3431232,18.0281499,nominatim
7231,SK,072 31,"",48.8049114,21.9704402,nominatim
94162,SK,Michal nad Žitavou,"",48.1761823,18.2808101,nominatim
2054,SK,Lysá pod Makytou,"",49.1972385,18.1777026,nominatim
7264,SK,Podhoroď,"",48.8301675,22.3262888,nominatim
93035,SK,Michal na Ostrove,"",48.0258712,17.5160756,nominatim
2051,SK,Dohňany,"",49.1569627,18.2858869,nominatim
95145,SK,Horné Lefantovce,"",48.4233622,18.1361903,nominatim
9302,SK,Vranov nad Topľou,"",48.8606365,21.7077869,nominatim
95153,SK,Klasov,"",48.2806045,18.2514668,nominatim
8233,SK,Krížovany,"",48.9874689,21.04867,nominatim
5995,SK,Toporec,"",49.2658764,20.4912846,nominatim
90053,SK,Pernek,"",48.3670093,17.1467389,nominatim
2955,SK,Novoť,"",49.4319741,19.2623142,nominatim
2204,SK,Čadca,"",49.4301141,18.7726815,nominatim
2351,SK,Raková,"",49.4473489,18.7270048,nominatim
9101,SK,Stropkov,"",49.2035769,21.6533275,nominatim
91622,SK,Podolie,"",48.6690847,17.767312,nominatim
93526,SK,Starý Tekov,"",48.2445312,18.5351259,nominatim
93601,SK,Šahy,"",48.071996,18.9499045,nominatim
94603,SK,Kolárovo,"",47.9196,17.992149,nominatim
6501,SK,Hniezdne,"",49.3016304,20.6246171,nominatim
90873,SK,Veľké Leváre,"",48.5043966,17.0022329,nominatim
95301,SK,Zlaté Moravce,"",48.3789167,18.3860361,nominatim
5361,SK,Spišské Vlachy,"",48.9465741,20.7973366,nominatim
96601,SK,Dolná Ždaňa,"",48.5447115,18.7720325,nominatim
97217,SK,Kanianka,"",48.8158141,18.5846683,nominatim
4932,SK,Štítnik,"",48.6442093,20.3735545,nominatim
93036,SK,Horná Potôň,"",48.0391036,17.4963778,nominatim
5305,SK,Beharovce,"",49.0022294,20.8255515,nominatim
1312,SK,Turie,"",49.1483318,18.7513807,nominatim
97202,SK,Prievidza,"",48.7593194,18.5906031,nominatim
91451,SK,Trenčianske Teplice,"",48.910576,18.1662106,nominatim
7252,SK,Jenkovce,"",48.6542567,22.2107514,nominatim
90043,SK,Hamuliakovo,"",48.0460187,17.2531958,nominatim
5907,SK,Lendak,"",49.2343748,20.3551055,nominatim
90849,SK,Vrádište,"",48.8204946,17.1884724,nominatim
95124,SK,Nové Sady,"",48.4186179,17.9786698,nominatim
4411,SK,Trstené pri Hornáde,"",48.5866842,21.3517339,nominatim
97603,SK,Dolný Harmanec,"",48.8061122,19.0587175,nominatim
95104,SK,Veľký Lapáš,"",48.2961634,18.1814196,nominatim
95194,SK,Hostie,"",48.4530731,18.4372996,nominatim
1864,SK,Košeca,"",49.0082442,18.2624169,nominatim
7602,SK,Novosad,"",48.5199162,21.7342188,nominatim
96654,SK,Tekovské Nemce,"",48.3572824,18.5302975,nominatim
5363,SK,Spišský Hrušov,"",48.9404815,20.7079467,nominatim
94353,SK,Ľubá,"",47.8407657,18.5967482,nominatim
8276,SK,Torysa,"",49.1646247,20.8813958,nominatim
97201,SK,Bojnice,"",48.786206,18.5798226,nominatim
92508,SK,Čierny Brod,"",48.1511867,17.659052,nominatim
92522,SK,Veľké Úľany,"",48.163797,17.5671147,nominatim
93003,SK,Kráľovičove Kračany,"",47.9778901,17.5490847,nominatim
2061,SK,Dolná Breznica,"",49.0767937,18.2784657,nominatim
92705,SK,Šaľa,"",48.167143,17.8826592,nominatim
97411,SK,Banská Bystrica,"",48.7558745,19.1607235,nominatim
1303,SK,Varín,"",49.2044818,18.8760724,nominatim
1362,SK,Veľké Rovné,"",49.3115579,18.5724608,nominatim
5913,SK,Jánovce,"",49.0173243,20.4350878,nominatim
92210,SK,Trebatice,"",48.5961186,17.7522348,nominatim
91332,SK,Dolná Súča,"",48.9549433,18.0322883,nominatim
94656,SK,Dulovce,"",47.868744,18.2715508,nominatim
95641,SK,Žitná-Radiša,"",48.7664778,18.3427385,nominatim
91322,SK,Trenčianske Mitice,"",48.805459,18.1121028,nominatim
96622,SK,Lutila,"",48.6265237,18.8410782,nominatim
5935,SK,Batizovce,"",49.0735698,20.1846258,nominatim
96268,SK,Hontianske Tesáre,"",48.2023801,18.9124317,nominatim
8241,SK,Bajerov,"",48.9600602,21.1101267,nominatim
91705,SK,Trnava,"",48.3438252,17.6194887,nominatim
94134,SK,Jasová,"",47.9885346,18.3981984,nominatim
8601,SK,086 01,"",49.3223161,21.1977759,nominatim
96641,SK,Veľká Lehota,"",48.456646,18.560447,nominatim
98011,SK,Ožďany,"",48.3798678,19.8975404,nominatim
93536,SK,Beša,"",48.1446346,18.4043618,nominatim
91601,SK,Stará Turá,"",48.7848643,17.6772879,nominatim
1004,SK,Žilina,"",49.2069259,18.7102606,nominatim
91321,SK,Trenčianska Turná,"",48.8436979,18.0369721,nominatim
95701,SK,Bánovce nad Bebravou,"",48.7201447,18.2686602,nominatim
4912,SK,Gemerská Hôrka,"",48.5205586,20.3719447,nominatim
97247,SK,Oslany,"",48.6264339,18.4792528,nominatim
3842,SK,Rakovo,"",48.9884693,18.8928821,nominatim
6542,SK,Čirč,"",49.2862524,20.9300502,nominatim
97215,SK,Kľačno,"",48.9120481,18.6539991,nominatim
93008,SK,Čiližská Radvaň,"",47.8303249,17.6870637,nominatim
