"fk_item","month","total_revenue_eur","total_cost_eur","total_qty","order_count","margin_eur","margin_pct"
02322887d42897ddfda1b76a62f29046,2024-01,18.29,8.3,1.0,1,9.99,54.62
04d8504d0e14e7a1d0a17789f18e4f7e,2024-01,69.5858,49.43,1.0,1,20.1558,28.97
0c8ba0a78f9ddcce77ca54e655637170,2024-01,13.2889,8.0,1.0,1,5.2889,39.8
21d9ee93f3f51e882c22ecf6fec4e20d,2024-01,7.46,5.5935,1.0,1,1.8665,25.02
22f0a4107a6586eb657b4848ccfd3284,2024-01,16.62,11.6498,1.0,1,4.9702,29.9
47681ddf7de9da36a4bd7033bb39e1f7,2024-01,15.948,6.15,1.0,1,9.798,61.44
4c0eed81d0446f49dae96e70bc53784f,2024-01,11.2394,5.65,1.0,1,5.5894,49.73
5eaf170428492bad21e1c7360608a62f,2024-01,6.1213,4.2,1.0,1,1.9213,31.39
69419f09df1fb61a74eae9b26c5fbe8a,2024-01,3.4598,2.38,1.0,1,1.0798,31.21
733a2c1cb7c2335639b61899aae077f6,2024-01,9.3615,2.9437,1.0,1,6.4178,68.56
77cc385fe498d0bc2a3c1c1718fc65f1,2024-01,5.3217,2.08,1.0,1,3.2417,60.91
80cfdeba01b77c10ae296c895773c5ab,2024-01,25.9451,12.0,1.0,1,13.9451,53.75
8aafcb2e362f386ddb5cfa80e98f89e1,2024-01,15.0654,7.61,1.0,1,7.4554,49.49
ab2595fc95b0c3994dc78e710fe5677e,2024-01,14.12,9.8855,1.0,1,4.2345,29.99
c03f27ccfbd32605f8c7502c1f8b38ac,2024-01,25.5701,13.34,1.0,1,12.2301,47.83
c88d8d62dcffc5dbb68effcd213a3bcf,2024-01,16.62,9.18,1.0,1,7.44,44.77
c97f9ccb7e50835574f168992f97b5d4,2024-01,1.9654,1.5753,1.0,1,0.3901,19.85
cbca425f4ca74cbb9cbbd69f9ce06d74,2024-01,12.92,9.64,1.0,1,3.28,25.39
de8b45116e2246d04ce6e673d5377649,2024-01,40.9244,24.61,1.0,1,16.3144,39.86
0372fd0b3db8cb7774aecf60b83092dc,2024-01,441.9448,48.46,102.0,86,393.4848,89.03
6d36ee80ca9d72dbee4fefa67e2c1bdd,2024-01,21.677,9.75,13.0,2,11.927,55.02
9c6e3cff9ff37683f3fac6342672645a,2024-01,521.6347,330.42,15.0,13,191.2147,36.66
f3d5f56aaed5a4643e19bd1ca6c36225,2024-01,132.3591,38.55,15.0,11,93.8091,70.87
450c468878a5642b14b278d15176cb54,2024-01,10.4671,4.1,2.0,2,6.3671,60.83
69064056e93042fb2d6a79201bb18cb5,2024-01,83.3844,56.4,2.0,2,26.9844,32.36
70c2ba8e5e4d0a59f7b187ead87c71b9,2024-01,111.58,78.22,2.0,2,33.36,29.9
ae167fa6030c157039128a6f646a0697,2024-01,7.9893,4.88,2.0,2,3.1093,38.92
dc5e6181d29c04a5b611d8887b6fcfae,2024-01,3.9976,3.1,2.0,1,0.8976,22.45
de3150bb9c43d9e22cf7013712035d89,2024-01,33.2774,22.74,2.0,2,10.5374,31.67
f7400e232f6f5bbb74959d3db145b437,2024-01,8.883099999999999,5.06,2.0,2,3.8231,43.04
82afe24815519691637a3603b9945321,2024-01,33.0038,13.799999999999999,20.0,11,19.2038,58.19
5c16c806029be943e0feb0fae15ec060,2024-01,24.339,12.27,3.0,3,12.069,49.59
613d97b037a9304d6561b07f9b0f854f,2024-01,13.450500000000002,10.620000000000001,3.0,3,2.8305,21.04
ef2ae5993dbb80e0b9f8c8eba931c850,2024-01,26.063499999999998,10.889199999999999,3.0,2,15.1743,58.22
2f80ae1cc17353201246a318588267f1,2024-01,20.106,11.96,4.0,1,8.146,40.52
3ad64069857ed66981d5360247b78140,2024-01,23.159999999999997,11.601099999999999,4.0,4,11.5589,49.91
62d669377935b8845a15657f491c358f,2024-01,13.8002,6.84,4.0,4,6.9602,50.44
7df2b7f147ca5e41fc1f9ce6ecc46e50,2024-01,26.0493,17.96,4.0,4,8.0893,31.05
c6da70161e1f7b6967f28b47eccf71fb,2024-01,13.499600000000001,10.737,4.0,4,2.7626,20.46
de180a522903ad208c17d587436c123a,2024-01,7.7796,6.28,4.0,1,1.4996,19.28
87435dbbdc3cadbb12c882a211f6aa6b,2024-01,6.4925,4.25,5.0,1,2.2425,34.54
1254b5ab6f077f0f3a3816c4addd6ef5,2024-01,43.1065,27.72,7.0,5,15.3865,35.69
e5f0bd91b40cbe45eaa2f4e57e54e1b2,2024-01,54.0413,36.120000000000005,7.0,7,17.9213,33.16
b00d17e6b0ba9c5700aa0ad0acb69251,2024-01,501.626,191.88,82.0,66,309.746,61.75
0b02f461ca2275984bdbcd2283e375bb,2024-02,71.6331,25.88,1.0,1,45.7531,63.87
1111475141b95fe0e7e6219ec16682b3,2024-02,7.1491,2.78,1.0,1,4.3691,61.11
226895e2aa428d6cc7df9700852c2adf,2024-02,9.12,2.99,1.0,1,6.13,67.21
2cd52d4eab4e1ea56209de9350b831f1,2024-02,7.7043,4.4242,1.0,1,3.2801,42.57
30bbb5efe47629d83a3f2f73e8fb4cb1,2024-02,4.8929,3.0148,1.0,1,1.8781,38.38
3e630e81fce7bdd1ab939f09df0168ff,2024-02,12.08,8.724,1.0,1,3.356,27.78
51cf600bd2db33876e2e1c5d3693f6ca,2024-02,29.12,20.45,1.0,1,8.67,29.77
7ba21a2c1dc9b8411d241960c73e3623,2024-02,65.4913,50.96,1.0,1,14.5313,22.19
94923b2693785c94d521c98ab8678cf5,2024-02,19.9644,17.05,1.0,1,2.9144,14.6
997a308ef60fe304815bbfdc0c791ec8,2024-02,13.0466,5.3,1.0,1,7.7466,59.38
9dc0a82ae669c940f6a5048526ce8b06,2024-02,9.96,5.1,1.0,1,4.86,48.8
a8f35789bcfffa4726f1eb285a66932a,2024-02,12.08,5.1756,1.0,1,6.9044,57.16
b140c58b0a342399f984ffc6d1755587,2024-02,10.5716,5.06,1.0,1,5.5116,52.14
c40c70f94990055d0b64b47bfe1dd142,2024-02,16.62,10.95,1.0,1,5.67,34.12
ff5da659c9e1a882c93031b6650076e1,2024-02,2.46,1.88,1.0,1,0.58,23.58
bc2decfa5c0c0450fd67c966608de590,2024-02,131.8834,69.0,10.0,9,62.8834,47.68
61447cc90f46d94919c39165cef0e6c5,2024-02,57.948,14.96,11.0,9,42.988,74.18
47d96781a63b490cf90c4f337b2b9371,2024-02,123.7257,57.28,16.0,9,66.4457,53.7
408cee30f4c0f8e11874da0b1372aa1c,2024-02,89.1704,30.259999999999998,17.0,14,58.9104,66.06
8c5a7671dfa9a909f7be9965b102f2fb,2024-02,8.5574,4.82,2.0,2,3.7374,43.67
a4cf8d370ea1cdec0ac514a9789141d2,2024-02,20.9286,9.42,2.0,2,11.5086,54.99
e2b663c3b93560257c591979a8186486,2024-02,49.0256,25.32,2.0,1,23.7056,48.35
e9d7cd6118b8888accf0e962783809a1,2024-02,6.5628,2.02,2.0,2,4.5428,69.22
a9c35caceb01403bc0114948a8fde101,2024-02,40.0884,12.75,3.0,3,27.3384,68.2
cc25dfd7991dcc35c77932bd5144369d,2024-02,73.69069999999999,25.740000000000002,3.0,3,47.9507,65.07
816705f062f207a9fac5ce1faaf0cead,2024-02,27.311999999999998,11.7,30.0,2,15.612,57.16
9c8946b0758721cd4b9b7ea421e2ca39,2024-02,6.4319,2.04,4.0,3,4.3919,68.28
a9e325658731eaddf01fb31998755724,2024-02,36.9731,27.9635,4.0,3,9.0096,24.37
565cb4cae8c00e9c0181413ffbe45a89,2024-02,41.8943,10.99,5.0,5,30.9043,73.77
81f2d65a5b7695a1f83835e79d16fcda,2024-02,72.0922,42.24,6.0,6,29.8522,41.41
cbdb7b53ac727d993feafcdb7768988d,2024-02,29.7656,3.9999999999999996,7.0,6,25.7656,86.56
2cd6bc1b4acc3bc0b9faaf383cf111f3,2024-02,34.1,28.48,8.0,7,5.62,16.48
c0428a9556ccc84d77175d352aa092c5,2024-02,87.38319999999999,39.6,8.0,8,47.7832,54.68
18cdb89f07bd0523634973770cf603ff,2024-03,16.62,9.5,1.0,1,7.12,42.84
22f0a4107a6586eb657b4848ccfd3284,2024-03,16.62,11.4121,1.0,1,5.2079,31.34
250f16baaad19f73b582d21b0bb1c8fd,2024-03,10.2442,3.08,1.0,1,7.1642,69.93
2697f29afd15082f3c33c3fe1c8caaa0,2024-03,18.5278,13.4802,1.0,1,5.0476,27.24
27d649d2614483b5d20f51bd8931f408,2024-03,17.7858,10.8,1.0,1,6.9858,39.28
2bd326ca0ce54fda1bf4b0471f0f745e,2024-03,52.4649,28.04,1.0,1,24.4249,46.55
3c692694f3b08250808a06e1d9d8fe46,2024-03,20.1559,4.66,1.0,1,15.4959,76.88
52e4f2cb345c909db9d06031a9f542fc,2024-03,25.1772,14.88,1.0,1,10.2972,40.9
5ba6e11dff2eeee4facb12ea4de2d159,2024-03,16.2898,6.2399,1.0,1,10.0499,61.69
8b51b98e2015a70c765736fe4b81a37e,2024-03,15.79,8.73,1.0,1,7.06,44.71
a2b977f930c22f9035b3b91923373066,2024-03,10.8701,6.14,1.0,1,4.7301,43.51
af42812d4f04fe2eace2711917f3622b,2024-03,13.0466,5.2,1.0,1,7.8466,60.14
b5bbcb86878e24d99ce7ce8367ba994b,2024-03,3.8848,3.3151,1.0,1,0.5697,14.66
c5ebc391d861f100fe044003d2668333,2024-03,5.5932,1.77,1.0,1,3.8232,68.35
c7d0267ac73b4868c04268ac40d57d0a,2024-03,14.3881,4.19,1.0,1,10.1981,70.88
de2d0a82134ec1feb5370109bf731924,2024-03,2.92,1.5,1.0,1,1.42,48.63
e9421eb5f4e8533364164a1f193148e9,2024-03,10.6585,8.1713,1.0,1,2.4872,23.34
ecb2e8f3ac77b49ee8625407896b0831,2024-03,9.2323,4.1322,1.0,1,5.1001,55.24
ecea0e422915a17d20a98f06c30d9ce8,2024-03,21.62,15.01,1.0,1,6.61,30.57
ef51ff6fcf7b2301280b542f843458a0,2024-03,16.62,10.4697,1.0,1,6.1503,37.01
f3423026acd334b03c3459fef210c37d,2024-03,83.8066,39.76,14.0,14,44.0466,52.56
32768e8c4c360f8702efad72be645719,2024-03,22.7952,6.02,2.0,2,16.7752,73.59
9cd2a571b8061a3b89a6f7d933db8e47,2024-03,13.26,11.48,2.0,1,1.78,13.42
