"fk_item","total_revenue_eur","total_cost_eur","total_qty","order_count","margin_pct","impact_score"
dedd2aed5cde5ccf3d238d3a14e5b35c,1646.1551,1158.5299,100.0,100,29.62,487.59
66dc21b5ae4245b51a25db0bf25c656a,576.771,302.18760000000003,109.0,101,47.61,274.6
30931de358c6ecc6bdefc9683c70ae6e,1233.0815,687.7706000000001,105.0,101,44.22,545.27
c7a90fe35b24435dd87de3082dc57e97,264.3193,112.97,227.0,101,57.26,151.35
7b2e4ed37a01da0768e7ff17cc5b5a8b,529.3081,112.14,126.0,101,78.81,417.15
24a5baf27795557c7d88d1cf08be68cd,215.9899,151.61,271.0,101,29.81,64.39
6e2788ea4fbde8f79bf908fc1d06a79c,8700.207,4062.1139000000003,1175.0,1012,53.31,4638.08
95bd8e77c045c2d6cec27fb8a9c0c8b4,13097.7496,4988.1173,1265.0,1013,61.92,8110.13
4e07de31d5ef2e57762acc8839d7d68f,1025.9278,381.4976,103.0,102,62.81,644.39
39cb3bc7bdbaa04c685aa07c9f5d4c9a,1030.6051,620.5999999999999,116.0,102,39.78,409.97
d08fbd54b2a804af6be59356e17d4c2c,1559.6116,785.3514,107.0,102,49.64,774.19
9bd0dd6d586aee6778e9b2fe5d38b727,1489.5318,559.24,124.0,103,62.46,930.36
070a1e9aac2202839811c36c44606bd7,600.2863,326.192,115.0,103,45.66,274.09
4f8fccac8b1632d5c831b06f49d64ca1,1011.6388000000001,641.25,135.0,103,36.61,370.36
5dce9e77bbbaf6919f93bf1fb39f4ad6,788.4758,306.0509,116.0,103,61.18,482.39
df4d25b152e2c813fb6661d238683f11,1097.9805,413.65,1711.0,103,62.33,684.37
c00ec44c79c543fd0ec591b38eb92851,488.7256,222.0,120.0,104,54.58,266.75
a70f4ab860d7cd288aba2cb823d79487,262.0864,151.7053,200.0,104,42.12,110.39
b1ae01368ae219559b5cc206da45ad53,2281.1261,1323.7268,109.0,105,41.97,957.39
e6353b61e3af4fbf252a28184e5f90e4,2329.3788,1009.16,109.0,106,56.68,1320.29
7a53109d25ffbd6671502749bc95a3af,275.9758,137.12,349.0,106,50.31,138.84
05e518308f9af3519d315beb9ad69bdf,200.4996,105.3222,120.0,106,47.47,95.18
1908353db92f5a9ef6d01c5927c5eadd,1202.6271,860.8378,153.0,107,28.42,341.79
a3034e6138562d9fc4cab0cbbdbe22df,1991.9117,1467.4454,109.0,107,26.33,524.47
921fb4a752286deed505e53162e045a8,1743.0908,1210.0591,108.0,107,30.58,533.04
